,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
ENSG00000251593,2171.673397,0.252405114,0.064784475,3.896074088,9.78E-05,0.004484084,
ENSG00000160211,2078.0716,0.248236508,0.069007465,3.597241376,0.00032161,0.012347597,
ENSG00000143153,1441.431662,0.248164851,0.071186776,3.486108856,0.000490102,0.017564456,
ENSG00000144674,4901.851134,0.24776009,0.077935466,3.179041639,0.001477629,0.041512336,
ENSG00000105835,1497.669478,0.247655915,0.073373435,3.37528035,0.000737405,0.024344706,
ENSG00000175567,2775.245034,0.245138174,0.065334601,3.752042091,0.0001754,0.007549008,
ENSG00000168615,6028.633362,0.238344018,0.056451239,4.222122015,2.42E-05,0.001337885,
ENSG00000101443,2235.096412,0.235803953,0.075413882,3.126797677,0.001767215,0.047404206,
ENSG00000169241,1327.355456,0.235470878,0.073386901,3.208622722,0.001333724,0.03809398,
ENSG00000179918,2230.537073,0.233985974,0.063016878,3.713068351,0.000204762,0.008539735,
ENSG00000112715,4926.404273,0.23132162,0.064803276,3.569597616,0.00035753,0.013372614,
ENSG00000094975,4477.819369,0.231187022,0.058971239,3.920335164,8.84E-05,0.00413627,
ENSG00000131981,2784.712654,0.230599332,0.061204568,3.767681705,0.000164771,0.007206707,
ENSG00000096433,7245.187676,0.230010355,0.061747684,3.725003763,0.000195312,0.00818185,
ENSG00000130340,1662.371926,0.229441168,0.070731126,3.243850071,0.001179258,0.034734676,
ENSG00000072274,6432.700508,0.227825931,0.061026811,3.733210492,0.000189054,0.00793734,
ENSG00000116133,13520.1666,0.226370195,0.057724,3.921595809,8.80E-05,0.00412492,
ENSG00000100994,3375.605651,0.224484358,0.068575228,3.273548817,0.00106206,0.03198227,
ENSG00000104164,1578.173876,0.223636339,0.070802806,3.158580188,0.001585397,0.043693445,
ENSG00000128791,2692.094789,0.222740989,0.066047328,3.3724451,0.000745039,0.024383225,
ENSG00000115295,1795.050236,0.222215132,0.069722473,3.18713784,0.001436883,0.040670687,
ENSG00000146038,3055.910871,0.222058565,0.066579717,3.335228407,0.000852294,0.027002668,
ENSG00000177189,3324.077006,0.221723876,0.05894501,3.761537671,0.000168872,0.007335036,
ENSG00000068366,2196.234524,0.221482773,0.069738425,3.1759073,0.001493687,0.04177669,
ENSG00000101745,2013.168529,0.220478501,0.065788138,3.351341279,0.000804211,0.025914848,
ENSG00000104419,6216.700454,0.218519505,0.061635166,3.545370581,0.000392061,0.014577417,
ENSG00000011405,4202.752839,0.213049938,0.061391886,3.4703273,0.000519825,0.018350584,
ENSG00000078618,3579.174006,0.211420753,0.060159127,3.514358699,0.000440817,0.016011259,
ENSG00000157483,2154.707443,0.21132789,0.067829129,3.115591967,0.001835761,0.048947567,
ENSG00000111669,7507.900151,0.210546917,0.06603437,3.188444367,0.001430405,0.040548226,
ENSG00000111640,22774.37527,0.209620121,0.063439406,3.304257307,0.000952284,0.029418046,
ENSG00000131473,7441.342888,0.207838708,0.062180994,3.34247967,0.000830334,0.026484997,
ENSG00000092841,5664.795889,0.20781797,0.064172811,3.238411524,0.001201973,0.03512929,
ENSG00000144959,3381.857717,0.204592995,0.058941882,3.471097073,0.000518337,0.018350584,
ENSG00000149925,29696.13982,0.202774943,0.056016411,3.619920304,0.000294694,0.011501599,
ENSG00000127526,2891.236318,0.201343111,0.061877802,3.253882734,0.001138393,0.033741885,
ENSG00000175582,3392.203214,0.198643515,0.058480703,3.396736069,0.000681947,0.022752892,
ENSG00000143570,4522.174539,0.198101103,0.063630645,3.113297139,0.001850096,0.049121364,
ENSG00000179820,4215.778466,0.197451258,0.05851033,3.374639249,0.000739125,0.024358824,
ENSG00000067057,5120.859076,0.195403328,0.059963461,3.258706621,0.001119213,0.033330635,
ENSG00000141526,11358.5066,0.192505513,0.06067726,3.172613822,0.001510733,0.04206773,
ENSG00000184009,102012.0612,0.184918785,0.052320568,3.534342068,0.000408792,0.015021699,
ENSG00000184992,5327.502084,0.179636143,0.054667325,3.285987427,0.001016255,0.030727899,
ENSG00000173402,8481.741085,0.174556929,0.0557797,3.129398851,0.001751644,0.047104472,
