"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232",292.304252696216,0.134688521937063,0.116015475035028,1.16095307023824,0.245660984917925,0.508391910353857
"ENSG00000233750",28.7184309103491,0.276992235270527,0.374971284453333,0.738702526713083,0.460087651157119,0.708399294933807
"ENSG00000237683",116.076656056168,-0.134474369660397,0.182108758519955,-0.738428896848811,0.460253860039257,0.708489774591117
"ENSG00000241860",61.1724726608356,-0.332815372086744,0.255282168384972,-1.30371570483078,0.192330532726181,0.44128830544415
"ENSG00000237094",103.158449829393,-0.271110189930225,0.194118713478009,-1.39662057857672,0.162527698669648,0.398581721957181
"ENSG00000225972",5779.15680483971,-0.646935752423887,0.124397711864707,-5.20054382613953,1.98706255824557e-07,5.0087938262426e-06
"ENSG00000225630",27228.4798617693,-0.360036633454501,0.0496452104283032,-7.25219271604176,4.10077830718443e-13,2.43741527193299e-11
"ENSG00000237973",99277.5982704989,-0.242240882335526,0.0540536735963523,-4.48148786601386,7.41244480387671e-06,0.000129719469405459
"ENSG00000229344",7582.67766611716,0.018316906443954,0.145353330776719,0.126016420443031,0.899718926559893,0.960900151163477
"ENSG00000240409",366.762705496315,-0.0790877254395356,0.247489530947801,-0.319559882539905,0.749301989942866,0.889475122781386
"ENSG00000248527",20413.7338196058,-0.419170912026432,0.0599749128170542,-6.98910414934757,2.76647004063327e-12,1.46258902937691e-10
"ENSG00000198744",23760.1336869717,-0.13317349173083,0.0496002551820979,-2.68493561659933,0.00725437791569787,0.0449261566974014
"ENSG00000229376",22.9070363001554,-0.0170534576389229,0.392872919051353,-0.0434070581400746,0.965377051423821,0.987590065719511
"ENSG00000224956",67.1440826337931,-0.159050048419648,0.237230204632091,-0.670446028010265,0.502573501297091,0.74111078284405
"ENSG00000235373",30.6569354112214,-0.582996113991781,0.352701526364005,-1.65294468669268,0.0983421213926851,0.295055737571542
"ENSG00000228327",69.0739332116941,-0.185424735467403,0.239740680176175,-0.773438764464763,0.439262755900178,0.691885491306988
"ENSG00000237491",92.2413059130823,-0.33795459800692,0.202714902980244,-1.66714234147775,0.09548610451479,0.289819585995185
