"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000223972",6.71650636180325,0.533086344649926,0.784599267691102,0.67943772904438,0.496860550952054,0.641668046767799
"ENSG00000227232",225.576697988083,-0.220382517922905,0.139329336424254,-1.58173808602552,0.113709374330894,0.206099513185282
"ENSG00000238009",6.34172271031476,-1.11829773064621,0.8081018941717,-1.38385733124962,0.166402144111578,0.280727665447483
"ENSG00000233750",30.9924519801413,0.76875837685836,0.3668287249366,2.09568750918082,0.0361099206222338,0.0776226746359253
"ENSG00000237683",110.929570332857,0.126595462780575,0.222228242203076,0.569664150359835,0.568905509450245,0.703577626245746
"ENSG00000268903",9.67811446155359,0.40082134933072,0.625644926260818,0.640653080536014,0.52174810446015,0.664586890698765
"ENSG00000239906",8.13323109200726,-0.706951078325384,0.676724233273437,-1.04466641442074,0.296177172516265,0.439880892194519
"ENSG00000241860",58.8229552032449,-0.044887852426149,0.26222484133948,-0.171180778284985,0.864081621112909,0.920346693107395
"ENSG00000222623",1.13794890724465,0.789363629705415,1.88986158707102,0.417683302896697,0.676178681766157,0.788725133456162
"ENSG00000241599",1.73192676537462,-0.501340329535035,1.49181076211529,-0.336061612013153,0.736824405755412,0.833457980839784
"ENSG00000228463",11.2197789015605,-0.369599857970938,0.577010021557706,-0.640543221369294,0.521819499249937,0.664650997227917
"ENSG00000237094",105.584019873731,0.188074630580096,0.204495590765951,0.919700174833361,0.357729461255304,0.50757170815816
"ENSG00000250575",9.93484868450255,0.237642982502906,0.661818674244028,0.359075667930279,0.719538483613374,0.820316512177565
"ENSG00000233653",15.2819176243413,1.05849405021193,0.519924897611023,2.03585951562534,0.0417644640874239,0.0879149214010025
"ENSG00000236743",1.65355038879226,-0.416596163656863,1.55139895139241,-0.268529357508563,0.788291880359814,0.870314930073653
"ENSG00000236679",4.36495618406556,-1.95683316154328,1.02531031462456,-1.90852772436977,0.0563230433640218,0.113946265991336
"ENSG00000231709",1.36647266575986,0.232121114370356,1.72799404762082,0.134329811315005,0.893141780845447,0.938411588706336
"ENSG00000230021",4.15470903870392,-0.140932760432902,0.957600718283872,-0.147172780619327,0.882995644544155,0.932022937386482
"ENSG00000225972",4436.36776043217,-1.17174495476497,0.36953800880076,-3.17083744258829,0.00152000176820523,0.00438234997595495
"ENSG00000225630",20020.9213353992,-0.995484309793804,0.219851151954906,-4.52799223903083,5.95467681987629e-06,2.34339595443554e-05
"ENSG00000237973",98033.5229809702,0.126472123015735,0.076387753628045,1.65565967067922,0.0977907587944392,0.181466794492681
"ENSG00000229344",5909.85621364568,-0.320326742480134,0.343158415908165,-0.933466083390068,0.350579374257221,0.499696374873066
"ENSG00000240409",279.696354265175,-0.500523438923776,0.529979248073971,-0.944420825424312,0.344954643536316,0.493731298079698
"ENSG00000248527",16562.8237141462,-0.670771190190648,0.390999823718302,-1.71552811408403,0.0862484454535566,0.163421923852004
"ENSG00000198744",19390.4044838079,-0.33849950007024,0.268801722687052,-1.25929066483079,0.207925363825556,0.334935424726657
"ENSG00000229376",23.3483768830632,0.406521153747211,0.398155631303242,1.02101068473297,0.307249376525857,0.452364451415875
"ENSG00000224956",73.1130262708155,0.461072869901382,0.246929192757226,1.86722705708877,0.0618698866791009,0.123528346078068
"ENSG00000235373",31.1128622290449,-0.0965916411639314,0.348586873489917,-0.27709488942281,0.781707245893527,0.865697019907496
"ENSG00000240618",6.69256941498824,-0.361166987964844,0.770869326371311,-0.468519080484048,0.639413429391358,0.760789877127236
"ENSG00000229905",2.21507681921886,0.966239264778115,1.31922806085725,0.732427768516567,0.463907515085376,0.61035371563568
"ENSG00000228327",58.0772950409507,-0.294631346734673,0.264613260126352,-1.11344135435234,0.265518922371315,0.405396922222947
"ENSG00000237491",92.5660479448581,0.0819458355790291,0.211042786132907,0.388290152345803,0.69780132399407,0.804657451740253
"ENSG00000230092",10.1078753708045,0.198211642495056,0.625246762502705,0.31701346473457,0.751233385427274,0.84393983064917
"ENSG00000269831",1.06246238864585,0.143411270144823,1.95241250962156,0.0734533657401228,0.941445352526057,0.967479915058047
"ENSG00000177757",9.01112168281393,0.138792042142907,0.631499192376043,0.219781820497182,0.826041078617316,0.895741399909824
"ENSG00000225880",40.4758663126569,0.0769007608959254,0.303221482730135,0.253612508597771,0.799794932059675,0.878007837505041
"ENSG00000228794",238.226000983957,-0.629828404848728,0.134160294503384,-4.69459617079806,2.67133914530105e-06,1.08960245680993e-05
"ENSG00000230368",1.82079873959122,-0.0536961927981089,1.45496682464742,-0.0369054413396133,0.970560401143014,0.984160849008873
"ENSG00000272438",1.4108150475203,0.958768414481018,1.76910525928972,0.541951028321488,0.587852242441344,0.718961600085079
"ENSG00000230699",3.25251217209061,3.23434649913443,1.39348168884549,2.32105418034887,0.0202839198767381,0.0465864214974948
"ENSG00000223764",17.0876521065434,2.63922290815264,0.559478930883219,4.71728739451589,2.39009953526535e-06,9.79829006465979e-06
"ENSG00000187634",28.706886577241,1.19653887977703,0.408591244914449,2.92844962947642,0.00340657023846218,0.0092294796928709
"ENSG00000188976",1037.38079853708,-0.860155945098497,0.0862172775864604,-9.97660758002845,1.92951175107184e-23,2.16025889802401e-22
"ENSG00000187961",293.085204571733,-0.117605432825901,0.147917400767286,-0.795075036580219,0.426569854824287,0.575336821122873
"ENSG00000187583",453.364558481879,-0.366333633298151,0.107158318484222,-3.41862058382419,0.00062939422837497,0.00192491158445427
"ENSG00000187642",99.4934056613445,-0.23095096821573,0.197128384832213,-1.17157642422883,0.241367157982032,0.376502216668304
"ENSG00000272512",137.856026804669,0.698234565692494,0.194366377834863,3.59236290489359,0.000327693061184945,0.00104484245380344
"ENSG00000188290",308.867282112717,1.19424629147601,0.127904724377344,9.33699906152607,9.91031454056254e-21,9.94182587455479e-20
"ENSG00000231702",1.90991027986972,2.45904017813518,1.6285137227809,1.50999045555235,0.131045859612969,0.231715343316099
"ENSG00000224969",6.0743416464888,4.32225547339698,1.22790322008924,3.52002943121435,0.000431498915234331,0.00135272165894705
"ENSG00000188157",20860.9918844192,0.360450592125705,0.064268939224242,5.60847271600437,2.04119869369423e-08,1.01689276466213e-07
"ENSG00000217801",123.746150719679,-0.274791695822771,0.189965326396587,-1.44653606547699,0.148026903910004,0.255861985337239
"ENSG00000273443",14.4407026055942,-1.36749328741912,0.544367812256243,-2.51207594686994,0.0120023255483727,0.0289971185428563
"ENSG00000237330",366.715072696474,-0.0819053580557434,0.116436629733404,-0.703432916628345,0.481785999067709,0.627750403509797
"ENSG00000131591",568.105793126779,-0.110299515750974,0.101984794053147,-1.08152903356842,0.279461852981195,0.421061196826968
"ENSG00000207730",10.8048113253184,0.543068357385408,0.599281685810392,0.906198821429078,0.364830626730858,0.514339616308082
"ENSG00000207607",6.2823230278594,0.12780159739453,0.794270107601114,0.160904453247676,0.87216865482596,0.925129145962203
"ENSG00000198976",9.21454960923464,1.00627379573876,0.664310986004711,1.51476314096606,0.129832397887028,0.23003178170873
"ENSG00000272141",50.2282771734174,0.363327667023371,0.295901852096481,1.22786547109852,0.219497473279055,0.34954296799688
"ENSG00000205231",5.92483980824854,1.45177159997085,0.841489290066409,1.72524073343379,0.0844840977105926,0.160706426135751
"ENSG00000162571",14.3048137598581,1.48175591546524,0.556217276038659,2.66398758056959,0.00772204135678285,0.0194802718627685
"ENSG00000186891",83.0962598527307,4.15805770821985,0.331264479815899,12.5520783590523,3.8721149672382e-36,6.50853634610364e-35
"ENSG00000186827",5.07042821361428,1.56330511355147,0.889697021336423,1.75712076815005,0.0788972265065333,0.152044188527699
"ENSG00000078808",4065.10768703143,-0.127565628765645,0.0644287332183989,-1.97994935478905,0.0477092197825012,0.0986192677807714
"ENSG00000176022",1075.24474534499,-0.0383353879061909,0.0781502520604488,-0.490534411540204,0.623755785533906,0.748149806424425
"ENSG00000184163",13.8756731196586,0.209547085658772,0.551819197948691,0.379738665196377,0.704139415634484,0.808722190144447
"ENSG00000260179",11.0937878189538,-0.407604903268776,0.597366598892446,-0.682336280643243,0.495026336925296,0.640006594680698
"ENSG00000160087",1442.34654553387,-0.25693778429279,0.0786029712530739,-3.26880498531717,0.00108002711655418,0.00318426834195724
"ENSG00000230415",8.27136621381102,1.79869162990272,0.717841656840676,2.50569413569423,0.0122211287659914,0.0294670701235788
"ENSG00000162572",78.0426344918095,1.24933398191444,0.253629074325503,4.92583109896568,8.40025362327752e-07,3.59408735848123e-06
"ENSG00000131584",471.87867994984,0.427275244489383,0.122266123719173,3.49463311252731,0.000474713822614167,0.00147893957771077
"ENSG00000169972",569.399380401613,-0.383040023194335,0.10430266153775,-3.6723897314519,0.000240292846629828,0.000780283996621147
"ENSG00000127054",2330.75008620959,0.418335015680015,0.0637651567744733,6.56055809851759,5.3606763213783e-11,3.22396755507978e-10
"ENSG00000240731",50.5740469906694,-0.303642409551814,0.27977784841564,-1.08529825099205,0.277789580296891,0.419242346728865
"ENSG00000224051",1625.8347135176,-0.410981835396486,0.0736805299522161,-5.57788924242293,2.43454576267373e-08,1.20335138355563e-07
"ENSG00000169962",113.957288272746,1.76287303433237,0.202175078457642,8.71953678851529,2.79342218453259e-18,2.51304448023961e-17
"ENSG00000107404",3585.92998926813,0.316711783787734,0.0668796469293237,4.73554808269883,2.18463901361258e-06,8.99339259909668e-06
"ENSG00000162576",326.842546289851,2.14753218278941,0.141963975028429,15.1273038273221,1.06989800846098e-51,2.62891605661558e-50
"ENSG00000175756",3195.24054662398,-0.372107556445734,0.065143343338372,-5.71213476890351,1.11567676247486e-08,5.67278031524284e-08
"ENSG00000223663",1.13694585498904,0.782681383319065,1.79633471836723,0.435710213311738,0.663046994625785,0.779314259972564
