,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
ENSG00000234362,200.234536,2.818649794,0.172367796,16.35253134,4.17E-60,4.41E-57,LINC01914?
ENSG00000151224,16.47618432,2.651644444,0.566005068,4.684842225,2.80E-06,5.51E-05,MAT1A
ENSG00000165076,89.52871725,2.616516107,0.289988275,9.022834135,1.83E-19,2.07E-17,PRSS37
ENSG00000130203,87.7596894,2.410922852,0.239938315,10.04809444,9.37E-24,1.57E-21,APOE
ENSG00000100078,29.83451857,2.259941609,0.404447263,5.587728774,2.30E-08,6.80E-07,PLA2G3
ENSG00000136235,341.7419402,2.166115049,0.124236165,17.43546293,4.44E-68,5.57E-65,
ENSG00000233725,66.10467842,2.104595219,0.278230716,7.564208769,3.90E-14,2.68E-12,
ENSG00000162878,1314.607815,2.076757661,0.096088784,21.6129039,1.36E-103,6.82E-100,
ENSG00000264301,18.68245822,2.076170929,0.488941685,4.246254704,2.17E-05,0.000336962,
ENSG00000140678,20.30728348,1.986311252,0.468383985,4.240775334,2.23E-05,0.000344233,
ENSG00000205363,37.96771229,1.983068535,0.35567178,5.575557713,2.47E-08,7.26E-07,
ENSG00000155897,95.75314232,1.89968238,0.22179476,8.565046262,1.08E-17,1.04E-15,
ENSG00000185885,22.05822327,1.867131106,0.463360304,4.029544808,5.59E-05,0.000770047,
ENSG00000185201,40.37259845,1.810424417,0.341052288,5.308348543,1.11E-07,2.88E-06,
ENSG00000130477,76.3530736,1.797038372,0.249055283,7.215419599,5.38E-13,3.15E-11,
ENSG00000121769,80.17930465,1.762262921,0.237722384,7.413113098,1.23E-13,8.05E-12,
ENSG00000116039,142.2269964,1.752145315,0.19970128,8.773831149,1.73E-18,1.80E-16,
ENSG00000182261,21.90997597,1.731751666,0.480952811,3.60066856,0.0003174,0.003382793,
ENSG00000143515,109.2981472,1.728557202,0.204795757,8.440395586,3.16E-17,2.91E-15,
ENSG00000135744,365.1603102,1.728149853,0.115842966,14.91803871,2.52E-50,1.94E-47,
ENSG00000196154,87.48555154,1.717229034,0.219543465,7.821818026,5.21E-15,3.85E-13,
ENSG00000180861,62.32832722,1.709029391,0.259749732,6.57952322,4.72E-11,2.12E-09,
ENSG00000154856,320.0120635,1.704533522,0.378195862,4.50701262,6.57E-06,0.000117096,
ENSG00000204538,76.6198755,1.680227611,0.244509221,6.871837397,6.34E-12,3.26E-10,
ENSG00000162892,105.7674096,1.672013129,0.205797393,8.124559317,4.49E-16,3.71E-14,
ENSG00000166501,37.77057581,1.667368286,0.342329076,4.870659262,1.11E-06,2.41E-05,
ENSG00000107159,157.5499477,1.647871993,0.178449817,9.234372,2.60E-20,3.22E-18,
ENSG00000185499,63.91940653,1.64037082,0.260348466,6.300674037,2.96E-10,1.16E-08,
ENSG00000145063,21.33727385,1.631488322,0.44050059,3.703714269,0.000212466,0.002421119,
ENSG00000236562,38.70687445,1.620349907,0.353436166,4.584561694,4.55E-06,8.47E-05,
ENSG00000143469,20.34727262,1.604715015,0.474533785,3.381666524,0.000720475,0.006777183,
ENSG00000148735,29.00308716,1.584078494,0.389117531,4.070951236,4.68E-05,0.000660565,
ENSG00000064300,19.92791927,1.573943802,0.472984825,3.327683507,0.000875713,0.008004128,
ENSG00000169247,446.0514105,1.54554399,0.115331358,13.4009,5.97E-41,2.55E-38,
ENSG00000136695,22.12742256,1.536179916,0.437972648,3.507479114,0.000452374,0.004578434,
ENSG00000111181,44.06974997,1.533812267,0.31240819,4.909641666,9.12E-07,2.00E-05,
ENSG00000148734,28.62619006,1.5232674,0.37288836,4.085049473,4.41E-05,0.0006239,
ENSG00000187772,19.14456502,1.520118334,0.460033119,3.304367166,0.000951911,0.008575734,
ENSG00000256969,22.56085663,1.518107827,0.469629709,3.232563435,0.001226849,0.010623877,
ENSG00000166589,98.92157111,1.515355388,0.208931633,7.252876786,4.08E-13,2.43E-11,
ENSG00000225069,27.65671332,1.495400199,0.399804648,3.7403272,0.000183781,0.002140381,
ENSG00000108759,35.27716383,1.473238358,0.349779843,4.211901828,2.53E-05,0.000385887,
ENSG00000086548,143.3117666,1.452423732,0.176905211,8.210180604,2.21E-16,1.88E-14,
ENSG00000204257,64.51627877,1.443993091,0.251072309,5.751303671,8.86E-09,2.80E-07,
ENSG00000188015,45.27862435,1.443364312,0.307662692,4.691385567,2.71E-06,5.36E-05,
ENSG00000133048,506.4481814,1.439169635,0.102605822,14.02619864,1.08E-44,5.85E-42,
ENSG00000128268,527.1958043,1.434275497,0.104904055,13.6722598,1.49E-42,6.79E-40,
ENSG00000197355,57.83901037,1.430233487,0.286878947,4.985494753,6.18E-07,1.41E-05,
ENSG00000188505,203.9538903,1.426522212,0.14336627,9.950194066,2.52E-23,4.11E-21,
ENSG00000092068,207.6348319,1.420884793,0.154840643,9.176433043,4.46E-20,5.36E-18,
ENSG00000229118,15.67751459,1.41882128,0.50204348,2.826092432,0.004711967,0.031798256,
ENSG00000156510,902.3242142,1.415606014,0.094230069,15.02286929,5.20E-51,4.54E-48,
ENSG00000174502,24.07108558,1.404399645,0.415045064,3.383728099,0.000715088,0.006738327,
ENSG00000143140,999.3881362,1.396523848,0.074296646,18.79659335,8.05E-79,1.62E-75,
ENSG00000168913,30.05669146,1.3814323,0.365256246,3.78209083,0.000155517,0.001850905,
ENSG00000160179,32.4761818,1.368908199,0.355422974,3.851490478,0.000117401,0.00145862,
ENSG00000160862,47.29223305,1.36832376,0.314338388,4.353027857,1.34E-05,0.00021913,
ENSG00000142227,96.18385654,1.366296638,0.204322744,6.68695326,2.28E-11,1.08E-09,
ENSG00000196420,98.45966805,1.360870303,0.207365341,6.562670016,5.29E-11,2.34E-09,
ENSG00000186862,67.8654997,1.356048219,0.252808461,5.363935259,8.14E-08,2.18E-06,
ENSG00000095303,48.6539177,1.345883349,0.307510021,4.376713785,1.20E-05,0.000199053,
ENSG00000261452,20.03990161,1.337445872,0.441800189,3.027264147,0.002467782,0.018973495,
ENSG00000115828,31.82535509,1.336254979,0.374075716,3.572151094,0.000354061,0.003714405,
ENSG00000204174,24.10268075,1.334853065,0.413196348,3.230553881,0.001235506,0.010689629,
ENSG00000183971,20.96609618,1.334611884,0.431441417,3.093379149,0.001978911,0.015832867,
