"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232",292.294780455079,0.134330041042745,0.115780387068665,1.16021412990335,0.245961635486586,0.507635932822532
"ENSG00000233750",28.7173240299862,0.276754763727885,0.374362165176955,0.739270122548489,0.459742987906452,0.707564055849858
"ENSG00000237683",116.074115940875,-0.134844057331827,0.181785068554143,-0.741777410016846,0.458222209544953,0.706421483729019
"ENSG00000241860",61.1719817349631,-0.333072649039311,0.254855203790913,-1.30690935121172,0.191243499821603,0.438590364971068
"ENSG00000237094",103.156995218391,-0.271419011411322,0.193776621200121,-1.40067986390895,0.161309826741131,0.396297772943697
"ENSG00000225972",5779.18085692038,-0.647314447682065,0.124438089962459,-5.20189957815449,1.97261812657003e-07,4.94790119536398e-06
"ENSG00000225630",27228.1938657475,-0.360407552824755,0.0494445884073722,-7.28912029473013,3.11985397614412e-13,1.88190345884271e-11
"ENSG00000237973",99275.7915238224,-0.242609168096852,0.0538307752962331,-4.50688601012642,6.5785951508416e-06,0.000116134598392311
"ENSG00000229344",7582.4324750144,0.0179532481404692,0.145292406683659,0.123566320843995,0.901658660141218,0.961493083079933
"ENSG00000240409",366.751560786473,-0.0794456558190025,0.247437942714707,-0.321073053499327,0.748155030286915,0.888247804882472
"ENSG00000248527",20413.5577065288,-0.419548645194322,0.0597669008032629,-7.01974905099006,2.22267091637216e-12,1.18975462510152e-10
"ENSG00000198744",23759.6433936132,-0.133547932362328,0.0493988742267257,-2.70346104952481,0.00686214900228106,0.0428556981481212
"ENSG00000229376",22.9065048864225,-0.0173629144583856,0.392265769506362,-0.044263139453222,0.964694653316535,0.987242103952739
"ENSG00000224956",67.1427025542674,-0.159461566600495,0.236839092754532,-0.673290733999585,0.500762346554883,0.738804133135999
"ENSG00000235373",30.6568109418492,-0.583329277565235,0.352135778331544,-1.65654646150729,0.0976112042273501,0.292277340072476
"ENSG00000228327",69.0727323736103,-0.185744994758913,0.239345403136778,-0.77605415572893,0.437717010576719,0.689576302751566
"ENSG00000237491",92.2402842329959,-0.338328604768781,0.202371581642228,-1.67181875055417,0.0945600682172511,0.28710254288711
"ENSG00000225880",44.0714699771253,-0.0891863376107437,0.287462556190031,-0.310253755455322,0.756367994924159,0.892215726495082
"ENSG00000228794",324.048885921726,-0.0611268826893821,0.117768479980803,-0.519042809241881,0.603730888677303,0.806831822131775
"ENSG00000187634",15.7780805246295,-0.733221337503835,0.516080563274988,-1.42074976211252,0.155389520288616,0.387377595465416
"ENSG00000188976",1429.71877148934,-0.210318324745519,0.0723086291035683,-2.9086199994786,0.00363027824170552,0.025712002615783
"ENSG00000187961",325.471475626662,-0.215107865055744,0.120521267629913,-1.78481250061424,0.0742917350188077,0.245784387967774
"ENSG00000187583",500.022037624393,-0.508935805762757,0.0940403849785731,-5.41188560509101,6.23645268374918e-08,1.70337912836848e-06
"ENSG00000187642",110.059034438026,-0.359226297516381,0.181765414428877,-1.97631820467663,0.0481187490347961,0.182372616406367
"ENSG00000272512",86.3319165054154,-1.2754214644871,0.251621322597775,-5.06881313284369,4.00303993833417e-07,9.44736352349646e-06
"ENSG00000188290",196.839372435998,-0.278629262794287,0.137040177490247,-2.03319397199494,0.0420329298375572,0.166414728759998
"ENSG00000187608",349.633157267683,0.260988178236486,0.114054501327709,2.28827600137058,0.0221214531668841,0.103913664209555
"ENSG00000188157",20870.7126472237,-0.0143775580985908,0.0485551333033646,-0.2961078905656,0.767147688262084,0.897718365012353
"ENSG00000217801",156.074426182187,0.012672491341775,0.164028507467038,0.0772578592432881,0.93841841411748,0.976972939315841
"ENSG00000273443",21.5721663756716,-0.263408545355337,0.427473778116138,-0.616198136213568,0.537763758385572,0.762381799115607
"ENSG00000237330",449.576926911131,0.100622239317583,0.0996231477180379,1.01002870941573,0.312481535497821,0.577204768040475
"ENSG00000131591",693.287116788427,0.0633715298635182,0.0849493237818411,0.745992163825377,0.455672148724626,0.704666572801169
"ENSG00000272141",39.4396233501588,-0.808294266720363,0.308873748905467,-2.61690826619179,0.00887301835805515,0.0521839046872782
"ENSG00000078808",4829.70543148952,-0.0280744724297006,0.0522230011068163,-0.537588262541201,0.590861335306999,0.79812850421078
"ENSG00000176022",1345.62491598708,0.19852507410778,0.070716082407894,2.80735396175763,0.00499503225899729,0.0332768815759559
"ENSG00000160087",1820.28084478411,0.0252326735876492,0.060183728625029,0.419260723190811,0.675025597945611,0.849258277240473
"ENSG00000162572",55.1760503785491,0.13149319927859,0.265766224216823,0.494770167526302,0.620762364884733,0.81624019704941
"ENSG00000131584",474.617150552913,0.0706799560869039,0.0942981253508801,0.749537234424398,0.453533465190518,0.702525077603652
"ENSG00000169972",772.17113345319,0.118012909381626,0.0810335403051208,1.45634645774163,0.145296868782539,0.370479421086044
"ENSG00000127054",2234.05856442086,-0.0731383323539588,0.0541153703778551,-1.3515260422922,0.176526983464481,0.418342759863718
"ENSG00000240731",60.8075454950447,-0.145848929812174,0.248205667149428,-0.587613214022095,0.556791939522062,0.775511729533177
"ENSG00000224051",2220.35521379606,0.112662899143367,0.0638841738093612,1.76354944308379,0.0778078659695303,0.254035318568664
